"Site","Date","floral_richness","faunal_richness","OC_pct","OM_pct","AN_mg_kg","Ap_mg_kg","AK_mg_kg","Fe_mg_kg","Cu_mg_kg","Zn_mg_kg","Mn_mg_kg","Al_mg_kg","As_mg_kg","B_mg_kg","Ba_mg_kg","Cd_mg_kg","Ni_mg_kg","Co_mg_kg","Cr_mg_kg","Pb_mg_kg","Se_mg_kg","V_mg_kg","Index"
"AMD","2024-04-01",73,24,0.3515,0.5996,44.24,109.3997,73.6167,42974.6567,16.3503,35.4027,3388.6833,9626.6967,24.9323,27.559,434.57,0.2093,25.6377,14.6383,50.5333,9.2587,13.4473,34.2917,1
"AMD","2024-05-01",73,27,0.3515,0.5996,44.24,109.3997,73.6167,42974.6567,16.3503,35.4027,3388.6833,9626.6967,24.9323,27.559,434.57,0.2093,25.6377,14.6383,50.5333,9.2587,13.4473,34.2917,2
"AMD","2024-06-01",59,36,0.3515,0.5996,44.24,109.3997,73.6167,42974.6567,16.3503,35.4027,3388.6833,9626.6967,24.9323,27.559,434.57,0.2093,25.6377,14.6383,50.5333,9.2587,13.4473,34.2917,3
"AMD","2024-07-01",78,36,0.3515,0.5996,44.24,109.3997,73.6167,42974.6567,16.3503,35.4027,3388.6833,9626.6967,24.9323,27.559,434.57,0.2093,25.6377,14.6383,50.5333,9.2587,13.4473,34.2917,4
"AMD","2024-08-01",58,36,0.3515,0.5996,44.24,109.3997,73.6167,42974.6567,16.3503,35.4027,3388.6833,9626.6967,24.9323,27.559,434.57,0.2093,25.6377,14.6383,50.5333,9.2587,13.4473,34.2917,5
"AMD","2024-09-01",78,36,0.3515,0.5996,44.24,109.3997,73.6167,42974.6567,16.3503,35.4027,3388.6833,9626.6967,24.9323,27.559,434.57,0.2093,25.6377,14.6383,50.5333,9.2587,13.4473,34.2917,6
"AMD","2024-10-01",69,25,0.3515,0.5996,44.24,109.3997,73.6167,42974.6567,16.3503,35.4027,3388.6833,9626.6967,24.9323,27.559,434.57,0.2093,25.6377,14.6383,50.5333,9.2587,13.4473,34.2917,7
"AMD","2024-11-01",78,36,0.3515,0.5996,44.24,109.3997,73.6167,42974.6567,16.3503,35.4027,3388.6833,9626.6967,24.9323,27.559,434.57,0.2093,25.6377,14.6383,50.5333,9.2587,13.4473,34.2917,8
"AMD","2024-12-01",70,36,0.3515,0.5996,44.24,109.3997,73.6167,42974.6567,16.3503,35.4027,3388.6833,9626.6967,24.9323,27.559,434.57,0.2093,25.6377,14.6383,50.5333,9.2587,13.4473,34.2917,9
"AMD","2025-01-01",80,36,0.3515,0.5996,44.24,109.3997,73.6167,42974.6567,16.3503,35.4027,3388.6833,9626.6967,24.9323,27.559,434.57,0.2093,25.6377,14.6383,50.5333,9.2587,13.4473,34.2917,10
"AMD","2025-02-01",67,23,0.3515,0.5996,44.24,109.3997,73.6167,42974.6567,16.3503,35.4027,3388.6833,9626.6967,24.9323,27.559,434.57,0.2093,25.6377,14.6383,50.5333,9.2587,13.4473,34.2917,11
"AMD","2025-03-01",58,22,0.3515,0.5996,44.24,109.3997,73.6167,42974.6567,16.3503,35.4027,3388.6833,9626.6967,24.9323,27.559,434.57,0.2093,25.6377,14.6383,50.5333,9.2587,13.4473,34.2917,12
"AMD","2025-04-01",73,27,0.3881,0.6263,43.8633,112.164,74.01,46369.5467,16.0353,36.311,3353.8033,10451.74,25.7133,29.7447,457.8167,0.2066,25.917,15.3727,47.779,10.0807,14.3367,37.3737,13
"AMD","2025-05-01",80,36,0.3881,0.6263,43.8633,112.164,74.01,46369.5467,16.0353,36.311,3353.8033,10451.74,25.7133,29.7447,457.8167,0.2066,25.917,15.3727,47.779,10.0807,14.3367,37.3737,14
"AMD","2025-06-01",74,32,0.3881,0.6263,43.8633,112.164,74.01,46369.5467,16.0353,36.311,3353.8033,10451.74,25.7133,29.7447,457.8167,0.2066,25.917,15.3727,47.779,10.0807,14.3367,37.3737,15
"AMD","2025-07-01",58,36,0.3881,0.6263,43.8633,112.164,74.01,46369.5467,16.0353,36.311,3353.8033,10451.74,25.7133,29.7447,457.8167,0.2066,25.917,15.3727,47.779,10.0807,14.3367,37.3737,16
"AMD","2025-08-01",80,36,0.3881,0.6263,43.8633,112.164,74.01,46369.5467,16.0353,36.311,3353.8033,10451.74,25.7133,29.7447,457.8167,0.2066,25.917,15.3727,47.779,10.0807,14.3367,37.3737,17
"AMD","2025-09-01",60,22,0.3881,0.6263,43.8633,112.164,74.01,46369.5467,16.0353,36.311,3353.8033,10451.74,25.7133,29.7447,457.8167,0.2066,25.917,15.3727,47.779,10.0807,14.3367,37.3737,18
"AMD","2025-10-01",80,24,0.3881,0.6263,43.8633,112.164,74.01,46369.5467,16.0353,36.311,3353.8033,10451.74,25.7133,29.7447,457.8167,0.2066,25.917,15.3727,47.779,10.0807,14.3367,37.3737,19
"AMD","2025-11-01",70,23,0.3881,0.6263,43.8633,112.164,74.01,46369.5467,16.0353,36.311,3353.8033,10451.74,25.7133,29.7447,457.8167,0.2066,25.917,15.3727,47.779,10.0807,14.3367,37.3737,20
"AMD","2025-12-01",68,28,0.3881,0.6263,43.8633,112.164,74.01,46369.5467,16.0353,36.311,3353.8033,10451.74,25.7133,29.7447,457.8167,0.2066,25.917,15.3727,47.779,10.0807,14.3367,37.3737,21
"AMD","2026-01-01",69,29,0.3881,0.6263,43.8633,112.164,74.01,46369.5467,16.0353,36.311,3353.8033,10451.74,25.7133,29.7447,457.8167,0.2066,25.917,15.3727,47.779,10.0807,14.3367,37.3737,22
"AMD","2026-02-01",62,22,0.3881,0.6263,43.8633,112.164,74.01,46369.5467,16.0353,36.311,3353.8033,10451.74,25.7133,29.7447,457.8167,0.2066,25.917,15.3727,47.779,10.0807,14.3367,37.3737,23
"AMD","2026-03-01",63,36,0.3881,0.6263,43.8633,112.164,74.01,46369.5467,16.0353,36.311,3353.8033,10451.74,25.7133,29.7447,457.8167,0.2066,25.917,15.3727,47.779,10.0807,14.3367,37.3737,24
"AMD","2026-04-01",58,29,0.3881,0.6263,43.8633,112.164,74.01,46369.5467,16.0353,36.311,3353.8033,10451.74,25.7133,29.7447,457.8167,0.2066,25.917,15.3727,47.779,10.0807,14.3367,37.3737,25
"PMD","2024-04-01",17,10,0.2335,0.4203,33.8867,90.0327,48.35,69472.3,22.3063,58.5747,5304.5533,13967.59,37.6417,46.9963,626.73,0.3076,39.9073,19.7317,70.932,14.6223,21.601,47.4987,1
"PMD","2024-05-01",20,7,0.2335,0.4203,33.8867,90.0327,48.35,69472.3,22.3063,58.5747,5304.5533,13967.59,37.6417,46.9963,626.73,0.3076,39.9073,19.7317,70.932,14.6223,21.601,47.4987,2
"PMD","2024-06-01",30,8,0.2335,0.4203,33.8867,90.0327,48.35,69472.3,22.3063,58.5747,5304.5533,13967.59,37.6417,46.9963,626.73,0.3076,39.9073,19.7317,70.932,14.6223,21.601,47.4987,3
"PMD","2024-07-01",21,10,0.2335,0.4203,33.8867,90.0327,48.35,69472.3,22.3063,58.5747,5304.5533,13967.59,37.6417,46.9963,626.73,0.3076,39.9073,19.7317,70.932,14.6223,21.601,47.4987,4
"PMD","2024-08-01",22,6,0.2335,0.4203,33.8867,90.0327,48.35,69472.3,22.3063,58.5747,5304.5533,13967.59,37.6417,46.9963,626.73,0.3076,39.9073,19.7317,70.932,14.6223,21.601,47.4987,5
"PMD","2024-09-01",32,8,0.2335,0.4203,33.8867,90.0327,48.35,69472.3,22.3063,58.5747,5304.5533,13967.59,37.6417,46.9963,626.73,0.3076,39.9073,19.7317,70.932,14.6223,21.601,47.4987,6
"PMD","2024-10-01",28,8,0.2335,0.4203,33.8867,90.0327,48.35,69472.3,22.3063,58.5747,5304.5533,13967.59,37.6417,46.9963,626.73,0.3076,39.9073,19.7317,70.932,14.6223,21.601,47.4987,7
"PMD","2024-11-01",30,6,0.2335,0.4203,33.8867,90.0327,48.35,69472.3,22.3063,58.5747,5304.5533,13967.59,37.6417,46.9963,626.73,0.3076,39.9073,19.7317,70.932,14.6223,21.601,47.4987,8
"PMD","2024-12-01",31,10,0.2335,0.4203,33.8867,90.0327,48.35,69472.3,22.3063,58.5747,5304.5533,13967.59,37.6417,46.9963,626.73,0.3076,39.9073,19.7317,70.932,14.6223,21.601,47.4987,9
